# conf	year	title	filename	source_url	source_type
NeurIPS	2022	Gradient Descent: The Ultimate Optimizer	NeurIPS2022 - Gradient Descent The Ultimate Optimizer.pdf	https://arxiv.org/pdf/1909.13371	arxiv
NeurIPS	2022	Riemannian Score-Based Generative Modelling	NeurIPS2022 - Riemannian Score-Based Generative Modelling.pdf	https://arxiv.org/pdf/2202.02763	arxiv
NeurIPS	2022	Gradient Estimation with Discrete Stein Operators	NeurIPS2022 - Gradient Estimation with Discrete Stein Operators.pdf	https://arxiv.org/pdf/2202.09497	arxiv
NeurIPS	2022	An empirical analysis of compute-optimal large language model training	NeurIPS2022 - An empirical analysis of compute-optimal large language model training.pdf	https://arxiv.org/pdf/2203.15556	arxiv
NeurIPS	2022	Beyond neural scaling laws: beating power law scaling via data pruning	NeurIPS2022 - Beyond neural scaling laws beating power law scaling via data pruning.pdf	https://arxiv.org/pdf/2206.14486	arxiv
NeurIPS	2022	On-Demand Sampling: Learning Optimally from Multiple Distributions	NeurIPS2022 - On-Demand Sampling Learning Optimally from Multiple Distributions.pdf	https://arxiv.org/pdf/2210.12529	arxiv
NeurIPS	2022	LAION-5B: An open large-scale dataset for training next generation image-text models	NeurIPS2022 - LAION-5B An open large-scale dataset for training next generation image-text models.pdf	https://arxiv.org/pdf/2210.08402	arxiv
NeurIPS	2022	MineDojo: Building Open-Ended Embodied Agents with Internet-Scale Knowledge	NeurIPS2022 - MineDojo Building Open-Ended Embodied Agents with Internet-Scale Knowledge.pdf	https://arxiv.org/pdf/2206.08853	arxiv
NeurIPS	2023	Privacy Auditing with One (1) Training Run	NeurIPS2023 - Privacy Auditing with One (1) Training Run.pdf	https://arxiv.org/pdf/2305.08846	arxiv
NeurIPS	2023	Are Emergent Abilities of Large Language Models a Mirage?	NeurIPS2023 - Are Emergent Abilities of Large Language Models a Mirage.pdf	https://arxiv.org/pdf/2304.15004	arxiv
NeurIPS	2023	Scaling Data-Constrained Language Models	NeurIPS2023 - Scaling Data-Constrained Language Models.pdf	https://arxiv.org/pdf/2305.16264	arxiv
NeurIPS	2023	Direct Preference Optimization: Your Language Model is Secretly a Reward Model	NeurIPS2023 - Direct Preference Optimization Your Language Model is Secretly a Reward Model.pdf	https://arxiv.org/pdf/2305.18290	arxiv
NeurIPS	2023	ClimSim: A large multi-scale dataset for hybrid physics-ML climate emulation	NeurIPS2023 - ClimSim A large multi-scale dataset for hybrid physics-ML climate emulation.pdf	https://arxiv.org/pdf/2306.08754	arxiv
NeurIPS	2023	DecodingTrust: A Comprehensive Assessment of Trustworthiness in GPT Models	NeurIPS2023 - DecodingTrust A Comprehensive Assessment of Trustworthiness in GPT Models.pdf	https://arxiv.org/pdf/2306.11698	arxiv
NeurIPS	2024	Visual Autoregressive Modeling: Scalable Image Generation via Next-Scale Prediction	NeurIPS2024 - Visual Autoregressive Modeling Scalable Image Generation via Next-Scale Prediction.pdf	https://arxiv.org/pdf/2404.02905	arxiv
NeurIPS	2024	Stochastic Taylor Derivative Estimator: Efficient amortization for arbitrary differential operators	NeurIPS2024 - Stochastic Taylor Derivative Estimator Efficient amortization for arbitrary differentia....pdf	https://arxiv.org/pdf/2412.00088	arxiv
NeurIPS	2024	Not All Tokens Are What You Need for Pretraining	NeurIPS2024 - Not All Tokens Are What You Need for Pretraining.pdf	https://arxiv.org/pdf/2404.07965	arxiv
NeurIPS	2024	Guiding a Diffusion Model with a Bad Version of Itself	NeurIPS2024 - Guiding a Diffusion Model with a Bad Version of Itself.pdf	https://arxiv.org/pdf/2406.02507	arxiv
NeurIPS	2024	The PRISM Alignment Dataset: What Participatory, Representative and Individualised Human Feedback Reveals About the Subjective and Multicultural Alignment of Large Language Models	NeurIPS2024 - The PRISM Alignment Dataset What Participatory, Representative and Individualised Human....pdf	https://arxiv.org/pdf/2404.16019	arxiv
NeurIPS	2025	Artificial Hivemind: The Open-Ended Homogeneity of Language Models (and Beyond)	NeurIPS2025 - Artificial Hivemind The Open-Ended Homogeneity of Language Models (and Beyond).pdf	https://arxiv.org/pdf/2510.22954	arxiv
NeurIPS	2025	Gated Attention for Large Language Models: Non-linearity, Sparsity, and Attention-Sink-Free	NeurIPS2025 - Gated Attention for Large Language Models Non-linearity, Sparsity, and Attention-Sink-Free.pdf	https://arxiv.org/pdf/2505.06708	arxiv
NeurIPS	2025	1000 Layer Networks for Self-Supervised RL: Scaling Depth Can Enable New Goal-Reaching Capabilities	NeurIPS2025 - 1000 Layer Networks for Self-Supervised RL Scaling Depth Can Enable New Goal-Reaching C....pdf	https://arxiv.org/pdf/2503.14858	arxiv
NeurIPS	2025	Does Reinforcement Learning Really Incentivize Reasoning Capacity in LLMs Beyond the Base Model?	NeurIPS2025 - Does Reinforcement Learning Really Incentivize Reasoning Capacity in LLMs Beyond the Ba....pdf	https://arxiv.org/pdf/2504.13837	arxiv
NeurIPS	2025	Optimal Mistake Bounds for Transductive Online Learning	NeurIPS2025 - Optimal Mistake Bounds for Transductive Online Learning.pdf	https://arxiv.org/pdf/2512.12567	arxiv
NeurIPS	2025	Superposition Yields Robust Neural Scaling	NeurIPS2025 - Superposition Yields Robust Neural Scaling.pdf	https://arxiv.org/pdf/2505.10465	arxiv
NeurIPS	2025	Why Diffusion Models Don't Memorize: The Role of Implicit Dynamical Regularization in Training	NeurIPS2025 - Why Diffusion Models Don't Memorize The Role of Implicit Dynamical Regularization in Tr....pdf	https://arxiv.org/pdf/2505.17638	arxiv
ICLR	2022	Analytic-DPM: an Analytic Estimate of the Optimal Reverse Variance in Diffusion Probabilistic Models	ICLR2022 - Analytic-DPM an Analytic Estimate of the Optimal Reverse Variance in Diffusion Probabil....pdf	https://arxiv.org/pdf/2201.06503	arxiv
ICLR	2022	Hyperparameter Tuning with Renyi Differential Privacy	ICLR2022 - Hyperparameter Tuning with Renyi Differential Privacy.pdf	https://arxiv.org/pdf/2110.03620	arxiv
ICLR	2022	Learning Strides in Convolutional Neural Networks	ICLR2022 - Learning Strides in Convolutional Neural Networks.pdf	https://arxiv.org/pdf/2202.01653	arxiv
